input alg leaves trees k level t1 t2 t3 timeout errorInFile
20_leaves_1684_trees_7_trees_5.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_6.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_7.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_8.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_7_trees_9.txt Hybroscale 20 7 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_1.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_10.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_2.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_3.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_4.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_5.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_6.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_7.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_8.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
20_leaves_1684_trees_8_trees_9.txt Hybroscale 20 8 -20 0 9999 9999 9999 True False
30_leaves_815_trees_2_trees_1.txt Hybroscale 30 2 8 -1 0.361 0.419 0.025 False False
30_leaves_815_trees_2_trees_10.txt Hybroscale 30 2 8 -1 0.236 0.484 0.036 False False
30_leaves_815_trees_2_trees_2.txt Hybroscale 30 2 7 -1 0.174 0.237 0.034 False False
